Id,QtdProduto,ValorTotalConsumo,ValorProduto,PrecoCompraProduto,Tipo,DataConsumacao,Hospedagem_Id,Movimentacao_Id,Produto_Id
50,2,14.0,7.0,2.5,1,2030-03-31,9221,10050,24
51,3,18.0,6.0,2.0,1,2031-03-30,1744,10051,3
52,2,6.0,3.0,1.0,1,2032-02-24,4559,10052,5
53,1,6.0,6.0,2.0,1,2030-05-05,1817,10053,19
54,2,13.0,6.5,2.5,1,2031-09-11,7662,10054,34
55,3,6.0,2.0,0.5,1,2031-04-07,6627,10055,40
56,3,6.0,2.0,0.5,1,2030-07-16,9592,10056,40
57,1,6.5,6.5,2.5,1,2031-09-15,5191,10057,34
58,3,16.5,5.5,2.0,1,2032-02-05,8024,10058,4
59,2,6.0,3.0,1.0,1,2030-09-11,5288,10059,14
60,1,6.0,6.0,2.0,1,2031-06-17,5580,10060,19
61,3,16.5,5.5,2.0,1,2032-10-10,4801,10061,39
62,1,2.0,2.0,0.5,1,2031-12-24,1354,10062,26
63,2,6.0,3.0,1.0,1,2031-04-18,5115,10063,37
64,2,13.0,6.5,2.5,1,2032-05-12,1328,10064,33
65,1,5.5,5.5,2.0,1,2032-11-18,2403,10065,12
66,2,13.0,6.5,2.5,1,2031-09-26,4385,10066,27
67,2,11.0,5.5,2.0,1,2030-06-25,3492,10067,12
68,1,4.5,4.5,1.5,1,2030-03-20,3327,10068,31
69,3,19.5,6.5,2.5,1,2031-12-02,1395,10069,35
70,2,4.0,2.0,0.5,1,2032-08-19,8952,10070,38
71,2,8.0,4.0,1.5,1,2032-03-05,4685,10071,32
72,3,7.5,2.5,1.0,1,2032-04-09,4175,10072,16
73,3,6.0,2.0,0.5,1,2032-10-05,5532,10073,38
74,2,11.0,5.5,2.0,1,2031-07-05,8722,10074,39
75,3,10.5,3.5,1.0,1,2032-09-04,1599,10075,29
76,1,3.0,3.0,1.0,1,2030-03-12,8332,10076,5
77,2,10.0,5.0,2.0,1,2032-07-15,4715,10077,7
78,2,4.0,2.0,0.5,1,2032-10-08,1849,10078,23
79,3,13.5,4.5,1.5,1,2032-04-23,80,10079,1
80,2,8.0,4.0,1.5,1,2032-09-14,7071,10080,32
81,3,19.5,6.5,2.5,1,2030-10-09,550,10081,27
82,1,2.0,2.0,0.5,1,2031-01-11,2177,10082,38
83,1,7.0,7.0,2.5,1,2031-11-16,2411,10083,24
84,3,6.0,2.0,0.5,1,2031-03-13,4111,10084,2
85,1,6.5,6.5,2.5,1,2031-10-24,6511,10085,33
86,1,5.0,5.0,2.0,1,2030-12-30,6702,10086,7
87,3,6.0,2.0,0.5,1,2030-11-07,1260,10087,6
88,3,15.0,5.0,2.0,1,2032-06-26,2393,10088,7
89,2,10.0,5.0,2.0,1,2030-08-18,5438,10089,22
90,1,6.5,6.5,2.5,1,2032-03-28,3338,10090,34
91,3,16.5,5.5,2.0,1,2032-04-12,6402,10091,17
92,1,2.0,2.0,0.5,1,2032-10-30,3755,10092,26
93,1,6.5,6.5,2.5,1,2031-10-24,9327,10093,21
94,2,6.0,3.0,1.0,1,2031-08-26,1396,10094,5
95,1,6.5,6.5,2.5,1,2032-04-26,5318,10095,35
96,1,2.0,2.0,0.5,1,2032-04-21,9100,10096,38
97,2,13.0,6.5,2.5,1,2032-10-18,7493,10097,15
98,1,2.0,2.0,0.5,1,2031-01-31,3147,10098,6
99,2,6.0,3.0,1.0,1,2030-02-25,7273,10099,14
100,1,6.0,6.0,2.0,1,2030-12-21,7031,10100,3
101,1,3.0,3.0,1.0,1,2031-05-02,6930,10101,37
102,2,6.0,3.0,1.0,1,2032-07-12,3910,10102,5
103,2,12.0,6.0,2.0,1,2032-08-28,3693,10103,19
104,2,13.0,6.5,2.5,1,2031-08-20,7407,10104,15
105,3,7.5,2.5,1.0,1,2030-06-28,2,10105,10
106,3,15.0,5.0,2.0,1,2032-08-02,6325,10106,22
107,3,7.5,2.5,1.0,1,2032-02-21,665,10107,10
108,1,6.0,6.0,2.0,1,2030-12-04,5954,10108,8
109,3,19.5,6.5,2.5,1,2032-04-15,8509,10109,21
110,3,13.5,4.5,1.5,1,2032-03-29,6173,10110,31
111,2,4.0,2.0,0.5,1,2032-09-09,4022,10111,38
112,2,10.0,5.0,2.0,1,2030-03-29,2200,10112,22
113,3,18.0,6.0,2.0,1,2030-02-01,3092,10113,8
114,3,6.0,2.0,0.5,1,2030-04-09,7240,10114,38
115,1,5.5,5.5,2.0,1,2031-09-26,4464,10115,4
116,1,6.0,6.0,2.0,1,2031-03-28,319,10116,19
117,1,3.0,3.0,1.0,1,2030-05-07,2999,10117,14
118,2,8.0,4.0,1.5,1,2030-10-03,7308,10118,32
119,2,11.0,5.5,2.0,1,2030-09-04,8547,10119,39
120,3,22.5,7.5,3.0,1,2030-07-01,8866,10120,11
121,3,6.0,2.0,0.5,1,2031-02-26,4654,10121,26
122,3,9.0,3.0,1.0,1,2031-03-21,5900,10122,18
123,2,13.0,6.5,2.5,1,2031-10-16,5625,10123,28
124,2,4.0,2.0,0.5,1,2032-08-29,462,10124,36
125,3,16.5,5.5,2.0,1,2030-03-23,8254,10125,39
126,3,19.5,6.5,2.5,1,2032-02-21,7579,10126,15
127,3,10.5,3.5,1.0,1,2031-09-11,8691,10127,29
128,2,10.0,5.0,2.0,1,2032-03-22,3678,10128,7
129,2,11.0,5.5,2.0,1,2032-09-25,57,10129,17
130,1,6.0,6.0,2.0,1,2031-03-31,3114,10130,3
131,2,6.0,3.0,1.0,1,2030-02-01,5997,10131,37
132,3,19.5,6.5,2.5,1,2031-08-15,4234,10132,34
133,1,5.5,5.5,2.0,1,2031-11-10,3250,10133,17
134,2,13.0,6.5,2.5,1,2031-03-26,6078,10134,28
135,2,7.0,3.5,1.0,1,2030-05-11,7537,10135,29
136,2,4.0,2.0,0.5,1,2031-02-07,3996,10136,2
137,1,5.0,5.0,2.0,1,2030-11-14,2128,10137,7
138,1,5.5,5.5,2.0,1,2031-07-11,8569,10138,25
139,2,7.0,3.5,1.0,1,2031-04-22,5775,10139,29
140,1,3.5,3.5,1.0,1,2032-12-24,7977,10140,29
141,2,11.0,5.5,2.0,1,2031-11-02,625,10141,25
142,2,4.0,2.0,0.5,1,2032-09-01,1380,10142,2
143,3,10.5,3.5,1.0,1,2031-01-17,3715,10143,29
144,3,19.5,6.5,2.5,1,2031-10-29,7318,10144,21
145,2,4.0,2.0,0.5,1,2030-02-14,9348,10145,38
146,1,6.5,6.5,2.5,1,2032-12-06,3491,10146,28
147,2,4.0,2.0,0.5,1,2030-08-02,879,10147,23
148,2,7.0,3.5,1.0,1,2032-05-19,478,10148,29
149,3,19.5,6.5,2.5,1,2031-09-30,2862,10149,33
150,2,8.0,4.0,1.5,1,2030-09-18,5645,10150,32
151,1,7.5,7.5,3.0,1,2031-08-11,3610,10151,11
152,3,6.0,2.0,0.5,1,2032-05-24,2742,10152,26
153,1,2.0,2.0,0.5,1,2032-06-07,6334,10153,38
154,3,18.0,6.0,2.0,1,2030-03-12,1338,10154,8
155,1,5.5,5.5,2.0,1,2032-06-02,3631,10155,25
156,2,12.0,6.0,2.0,1,2032-12-20,3146,10156,3
157,1,2.0,2.0,0.5,1,2032-05-23,2472,10157,26
158,3,12.0,4.0,1.5,1,2032-01-30,2247,10158,13
159,2,15.0,7.5,3.0,1,2030-09-10,1429,10159,11
160,3,19.5,6.5,2.5,1,2032-12-08,4435,10160,21
161,3,12.0,4.0,1.5,1,2032-09-15,2493,10161,32
162,3,19.5,6.5,2.5,1,2032-10-10,2724,10162,27
163,1,5.5,5.5,2.0,1,2030-05-16,5801,10163,12
164,1,2.5,2.5,1.0,1,2032-02-05,5187,10164,16
165,3,22.5,7.5,3.0,1,2030-03-23,7015,10165,11
166,3,19.5,6.5,2.5,1,2031-10-28,3359,10166,33
167,2,11.0,5.5,2.0,1,2031-04-14,3034,10167,25
168,2,6.0,3.0,1.0,1,2031-03-14,4111,10168,14
169,1,2.0,2.0,0.5,1,2032-11-06,7628,10169,38
170,2,5.0,2.5,1.0,1,2032-04-30,5558,10170,16
171,1,5.5,5.5,2.0,1,2031-03-17,9533,10171,39
172,1,4.5,4.5,1.5,1,2030-10-29,4924,10172,1
173,1,2.0,2.0,0.5,1,2030-10-27,143,10173,26
174,1,5.5,5.5,2.0,1,2030-03-04,2900,10174,12
175,1,2.5,2.5,1.0,1,2032-02-25,818,10175,30
176,1,2.5,2.5,1.0,1,2031-10-09,146,10176,16
177,2,6.0,3.0,1.0,1,2030-02-12,8871,10177,14
178,1,5.5,5.5,2.0,1,2032-03-23,4821,10178,25
179,2,6.0,3.0,1.0,1,2031-07-20,544,10179,14
180,3,19.5,6.5,2.5,1,2031-10-15,1582,10180,33
181,1,6.0,6.0,2.0,1,2031-02-25,8196,10181,3
182,2,13.0,6.5,2.5,1,2032-06-24,3401,10182,27
183,1,6.5,6.5,2.5,1,2031-05-15,7983,10183,35
184,3,15.0,5.0,2.0,1,2031-11-28,9214,10184,7
185,1,6.0,6.0,2.0,1,2030-10-07,9826,10185,8
186,3,16.5,5.5,2.0,1,2030-10-16,5544,10186,39
187,2,4.0,2.0,0.5,1,2031-05-23,2947,10187,36
188,2,12.0,6.0,2.0,1,2031-10-20,7309,10188,3
189,1,2.0,2.0,0.5,1,2032-08-19,9291,10189,36
190,2,12.0,6.0,2.0,1,2030-10-26,3827,10190,3
191,2,12.0,6.0,2.0,1,2031-03-27,942,10191,8
192,3,7.5,2.5,1.0,1,2031-01-11,5249,10192,16
193,1,3.0,3.0,1.0,1,2030-02-27,8158,10193,20
194,1,2.0,2.0,0.5,1,2031-01-12,5482,10194,6
195,2,4.0,2.0,0.5,1,2032-11-29,7599,10195,36
196,3,19.5,6.5,2.5,1,2031-11-29,8461,10196,15
197,1,2.0,2.0,0.5,1,2032-06-12,9738,10197,36
198,3,19.5,6.5,2.5,1,2030-09-19,5863,10198,28
199,3,7.5,2.5,1.0,1,2031-12-18,1841,10199,16
200,2,8.0,4.0,1.5,1,2030-04-03,2314,10200,13
201,1,6.5,6.5,2.5,1,2032-04-06,8967,10201,33
202,3,9.0,3.0,1.0,1,2031-08-08,6186,10202,5
203,1,6.0,6.0,2.0,1,2032-07-10,2688,10203,8
204,1,6.5,6.5,2.5,1,2030-01-07,1074,10204,35
205,3,6.0,2.0,0.5,1,2030-04-03,7393,10205,2
206,2,6.0,3.0,1.0,1,2030-11-05,5267,10206,37
207,3,6.0,2.0,0.5,1,2032-09-10,5554,10207,23
208,1,6.5,6.5,2.5,1,2031-01-09,3728,10208,15
209,3,9.0,3.0,1.0,1,2031-11-13,7830,10209,20
210,1,2.5,2.5,1.0,1,2032-12-06,4168,10210,10
211,1,6.0,6.0,2.0,1,2030-07-09,1526,10211,9
212,3,6.0,2.0,0.5,1,2031-01-27,3852,10212,23
213,3,16.5,5.5,2.0,1,2030-10-19,4857,10213,4
214,1,6.5,6.5,2.5,1,2033-01-02,8735,10214,33
215,3,13.5,4.5,1.5,1,2032-05-25,2087,10215,1
216,1,3.0,3.0,1.0,1,2031-08-31,1479,10216,37
217,1,6.5,6.5,2.5,1,2032-08-13,9728,10217,27
218,1,6.5,6.5,2.5,1,2031-05-22,2469,10218,27
219,2,4.0,2.0,0.5,1,2032-03-26,4218,10219,26
220,1,2.0,2.0,0.5,1,2031-11-07,9067,10220,6
221,2,6.0,3.0,1.0,1,2031-07-25,9275,10221,37
222,2,7.0,3.5,1.0,1,2031-10-16,3947,10222,29
223,3,7.5,2.5,1.0,1,2032-08-03,1018,10223,10
224,3,6.0,2.0,0.5,1,2031-08-11,7760,10224,40
225,1,6.5,6.5,2.5,1,2030-11-13,4389,10225,34
226,1,6.5,6.5,2.5,1,2031-10-07,1870,10226,28
227,3,16.5,5.5,2.0,1,2031-10-08,2623,10227,25
228,2,6.0,3.0,1.0,1,2032-11-07,482,10228,20
229,3,12.0,4.0,1.5,1,2032-09-26,4690,10229,13
230,1,6.5,6.5,2.5,1,2030-02-20,7731,10230,33
231,3,19.5,6.5,2.5,1,2032-10-08,9705,10231,15
232,2,6.0,3.0,1.0,1,2031-01-10,7455,10232,37
233,2,12.0,6.0,2.0,1,2032-11-10,713,10233,9
234,2,11.0,5.5,2.0,1,2032-02-04,4775,10234,4
235,1,3.0,3.0,1.0,1,2031-12-13,7009,10235,37
236,1,2.5,2.5,1.0,1,2032-11-04,9461,10236,16
237,3,19.5,6.5,2.5,1,2030-05-17,8545,10237,34
238,2,6.0,3.0,1.0,1,2031-10-15,7310,10238,18
239,3,19.5,6.5,2.5,1,2031-12-23,908,10239,33
240,3,19.5,6.5,2.5,1,2032-11-05,1143,10240,34
241,2,6.0,3.0,1.0,1,2031-11-20,955,10241,18
242,2,4.0,2.0,0.5,1,2031-01-16,8728,10242,6
243,2,5.0,2.5,1.0,1,2031-06-18,1559,10243,30
244,2,11.0,5.5,2.0,1,2030-04-22,9577,10244,39
245,1,4.5,4.5,1.5,1,2031-05-17,6979,10245,1
246,1,4.0,4.0,1.5,1,2030-09-12,1397,10246,13
247,3,18.0,6.0,2.0,1,2031-08-28,4236,10247,19
248,3,21.0,7.0,2.5,1,2030-08-06,6482,10248,24
249,3,19.5,6.5,2.5,1,2030-06-17,6618,10249,28
250,2,4.0,2.0,0.5,1,2030-08-07,9993,10250,36
251,2,15.0,7.5,3.0,1,2032-05-26,7948,10251,11
252,3,7.5,2.5,1.0,1,2031-11-20,4709,10252,10
253,2,11.0,5.5,2.0,1,2030-11-06,4585,10253,25
254,3,19.5,6.5,2.5,1,2032-07-01,7601,10254,15
255,3,12.0,4.0,1.5,1,2032-07-28,8151,10255,32
256,2,11.0,5.5,2.0,1,2030-09-21,407,10256,4
257,1,2.0,2.0,0.5,1,2031-10-06,3925,10257,6
258,1,6.5,6.5,2.5,1,2031-08-30,2118,10258,35
259,2,9.0,4.5,1.5,1,2031-06-13,4553,10259,31
260,2,13.0,6.5,2.5,1,2031-06-02,6513,10260,27
261,2,11.0,5.5,2.0,1,2032-08-09,4235,10261,39
262,2,11.0,5.5,2.0,1,2030-04-18,3003,10262,39
263,2,9.0,4.5,1.5,1,2032-09-26,8873,10263,1
264,2,12.0,6.0,2.0,1,2031-08-05,4076,10264,3
265,1,2.0,2.0,0.5,1,2032-02-06,412,10265,23
266,1,5.5,5.5,2.0,1,2030-09-14,9163,10266,25
267,1,2.0,2.0,0.5,1,2031-09-15,9615,10267,38
268,3,21.0,7.0,2.5,1,2032-05-24,6011,10268,24
269,1,6.0,6.0,2.0,1,2032-05-30,8832,10269,19
270,2,4.0,2.0,0.5,1,2032-06-07,490,10270,26
271,2,4.0,2.0,0.5,1,2032-09-29,8389,10271,2
272,2,11.0,5.5,2.0,1,2032-08-03,7609,10272,39
273,1,2.0,2.0,0.5,1,2031-11-09,8676,10273,6
274,2,7.0,3.5,1.0,1,2032-04-01,4831,10274,29
275,1,6.5,6.5,2.5,1,2030-08-25,8377,10275,15
276,3,9.0,3.0,1.0,1,2030-05-26,5914,10276,18
277,1,7.0,7.0,2.5,1,2031-05-17,7245,10277,24
278,3,21.0,7.0,2.5,1,2030-03-19,411,10278,24
279,3,9.0,3.0,1.0,1,2030-07-10,8587,10279,5
280,1,5.0,5.0,2.0,1,2030-05-25,3691,10280,7
281,1,3.0,3.0,1.0,1,2032-02-25,5090,10281,37
282,1,3.0,3.0,1.0,1,2030-04-10,7240,10282,14
283,2,11.0,5.5,2.0,1,2032-08-31,8787,10283,25
284,1,6.5,6.5,2.5,1,2030-01-07,3574,10284,21
285,2,8.0,4.0,1.5,1,2032-03-04,3000,10285,32
286,3,10.5,3.5,1.0,1,2031-05-19,8962,10286,29
287,2,6.0,3.0,1.0,1,2032-03-14,7457,10287,5
288,3,19.5,6.5,2.5,1,2030-07-13,6145,10288,34
289,3,7.5,2.5,1.0,1,2032-02-15,8462,10289,10
290,1,3.0,3.0,1.0,1,2031-10-17,6198,10290,14
291,1,6.0,6.0,2.0,1,2032-10-24,4280,10291,19
292,2,5.0,2.5,1.0,1,2032-08-08,646,10292,16
293,3,6.0,2.0,0.5,1,2030-02-03,6669,10293,40
294,3,9.0,3.0,1.0,1,2030-08-13,8474,10294,37
295,3,9.0,3.0,1.0,1,2031-05-21,6826,10295,20
296,1,2.0,2.0,0.5,1,2032-05-28,7246,10296,6
297,3,13.5,4.5,1.5,1,2030-10-14,5386,10297,31
298,3,15.0,5.0,2.0,1,2032-09-02,2443,10298,22
299,3,6.0,2.0,0.5,1,2032-09-03,5271,10299,6
300,1,2.0,2.0,0.5,1,2031-08-21,7960,10300,6
301,1,6.5,6.5,2.5,1,2030-05-12,7357,10301,34
302,1,2.5,2.5,1.0,1,2032-11-20,7625,10302,16
303,3,18.0,6.0,2.0,1,2030-09-30,7887,10303,8
304,1,3.0,3.0,1.0,1,2030-08-08,3166,10304,37
305,2,6.0,3.0,1.0,1,2030-07-11,7139,10305,20
306,3,7.5,2.5,1.0,1,2032-06-18,9056,10306,16
307,2,12.0,6.0,2.0,1,2032-06-30,5030,10307,19
308,1,5.5,5.5,2.0,1,2032-06-06,7511,10308,39
309,3,6.0,2.0,0.5,1,2032-12-20,190,10309,38
310,3,9.0,3.0,1.0,1,2032-02-29,8014,10310,5
311,3,19.5,6.5,2.5,1,2030-12-26,6,10311,28
312,1,2.0,2.0,0.5,1,2032-09-08,6851,10312,6
313,1,4.0,4.0,1.5,1,2030-11-11,351,10313,32
314,3,6.0,2.0,0.5,1,2031-01-14,3242,10314,38
315,2,12.0,6.0,2.0,1,2031-02-26,4093,10315,9
316,3,6.0,2.0,0.5,1,2030-06-16,9099,10316,38
317,2,13.0,6.5,2.5,1,2032-11-24,334,10317,35
318,1,6.0,6.0,2.0,1,2032-07-29,2695,10318,19
319,3,9.0,3.0,1.0,1,2030-08-29,5876,10319,20
320,2,13.0,6.5,2.5,1,2031-10-06,915,10320,28
321,2,11.0,5.5,2.0,1,2030-04-12,3792,10321,25
322,1,2.0,2.0,0.5,1,2031-06-09,4033,10322,36
323,3,6.0,2.0,0.5,1,2032-10-03,5300,10323,2
324,3,16.5,5.5,2.0,1,2032-01-01,9157,10324,17
325,2,6.0,3.0,1.0,1,2031-09-07,7877,10325,37
326,1,4.5,4.5,1.5,1,2030-07-10,6110,10326,1
327,3,19.5,6.5,2.5,1,2030-05-14,6734,10327,15
328,3,19.5,6.5,2.5,1,2032-05-12,7286,10328,35
329,1,4.5,4.5,1.5,1,2030-06-11,5038,10329,31
330,3,15.0,5.0,2.0,1,2030-09-13,6768,10330,7
331,2,11.0,5.5,2.0,1,2030-11-13,1574,10331,25
332,1,4.5,4.5,1.5,1,2031-06-26,7395,10332,1
333,1,6.5,6.5,2.5,1,2032-09-19,8372,10333,21
334,3,19.5,6.5,2.5,1,2031-10-21,2613,10334,21
335,1,2.5,2.5,1.0,1,2030-07-17,2597,10335,30
336,1,6.5,6.5,2.5,1,2031-08-23,5128,10336,27
337,3,19.5,6.5,2.5,1,2030-02-20,3378,10337,34
338,3,16.5,5.5,2.0,1,2031-09-11,723,10338,17
339,3,7.5,2.5,1.0,1,2030-02-18,6484,10339,10
340,3,6.0,2.0,0.5,1,2032-12-13,4415,10340,26
341,1,3.0,3.0,1.0,1,2032-09-05,2914,10341,5
342,1,3.0,3.0,1.0,1,2032-02-13,8512,10342,5
343,1,2.5,2.5,1.0,1,2030-06-02,3164,10343,16
344,2,9.0,4.5,1.5,1,2031-08-23,8180,10344,31
345,2,15.0,7.5,3.0,1,2031-09-24,8665,10345,11
346,1,6.0,6.0,2.0,1,2031-09-14,4576,10346,9
347,2,13.0,6.5,2.5,1,2030-08-01,1266,10347,21
348,2,13.0,6.5,2.5,1,2032-03-20,1751,10348,34
349,3,19.5,6.5,2.5,1,2030-07-04,6514,10349,28
350,3,15.0,5.0,2.0,1,2031-02-15,7125,10350,7
351,1,6.5,6.5,2.5,1,2032-04-09,9455,10351,34
352,2,6.0,3.0,1.0,1,2032-04-15,9648,10352,18
353,3,16.5,5.5,2.0,1,2030-01-16,3508,10353,17
354,3,9.0,3.0,1.0,1,2032-08-12,9171,10354,18
355,2,5.0,2.5,1.0,1,2030-04-28,9603,10355,16
356,2,13.0,6.5,2.5,1,2032-10-25,643,10356,15
357,3,12.0,4.0,1.5,1,2032-02-15,25,10357,32
358,2,10.0,5.0,2.0,1,2031-04-12,7451,10358,22
359,2,12.0,6.0,2.0,1,2032-05-29,4554,10359,3
360,3,6.0,2.0,0.5,1,2030-11-24,2676,10360,2
361,2,10.0,5.0,2.0,1,2030-10-15,7602,10361,22
362,3,18.0,6.0,2.0,1,2030-04-04,829,10362,19
363,2,9.0,4.5,1.5,1,2031-11-22,2755,10363,1
364,2,5.0,2.5,1.0,1,2030-09-15,327,10364,10
365,1,6.5,6.5,2.5,1,2031-09-04,2667,10365,34
366,3,19.5,6.5,2.5,1,2032-04-03,9525,10366,27
367,2,11.0,5.5,2.0,1,2030-11-07,8089,10367,17
368,3,6.0,2.0,0.5,1,2031-01-11,8945,10368,36
369,1,5.5,5.5,2.0,1,2031-08-13,5100,10369,39
370,3,18.0,6.0,2.0,1,2031-11-14,778,10370,3
371,1,2.0,2.0,0.5,1,2031-07-02,7545,10371,40
372,3,12.0,4.0,1.5,1,2031-05-17,3394,10372,32
373,2,5.0,2.5,1.0,1,2031-03-25,1939,10373,10
374,3,16.5,5.5,2.0,1,2030-05-18,9047,10374,17
375,1,3.0,3.0,1.0,1,2032-02-24,5980,10375,18
376,2,8.0,4.0,1.5,1,2030-03-05,7211,10376,13
377,3,13.5,4.5,1.5,1,2030-04-13,2063,10377,31
378,3,9.0,3.0,1.0,1,2032-03-04,8182,10378,14
379,2,5.0,2.5,1.0,1,2032-06-16,4195,10379,10
380,1,6.5,6.5,2.5,1,2030-08-22,5795,10380,28
381,3,6.0,2.0,0.5,1,2031-09-17,5209,10381,36
382,2,11.0,5.5,2.0,1,2031-10-16,5417,10382,17
383,1,2.0,2.0,0.5,1,2030-03-16,346,10383,23
384,1,7.5,7.5,3.0,1,2031-09-24,6323,10384,11
385,2,9.0,4.5,1.5,1,2032-01-07,590,10385,31
386,3,19.5,6.5,2.5,1,2032-07-18,9547,10386,27
387,2,5.0,2.5,1.0,1,2032-05-29,4418,10387,10
388,1,6.5,6.5,2.5,1,2031-04-06,1659,10388,33
389,1,6.5,6.5,2.5,1,2030-10-19,9556,10389,33
390,2,13.0,6.5,2.5,1,2032-01-13,383,10390,15
391,3,16.5,5.5,2.0,1,2032-12-01,7752,10391,12
392,1,6.0,6.0,2.0,1,2032-05-28,6735,10392,8
393,1,2.0,2.0,0.5,1,2032-03-15,9050,10393,36
394,2,13.0,6.5,2.5,1,2032-11-30,7752,10394,34
395,3,18.0,6.0,2.0,1,2030-02-23,9696,10395,8
396,3,16.5,5.5,2.0,1,2032-05-31,6988,10396,17
397,3,16.5,5.5,2.0,1,2031-08-01,4250,10397,39
398,3,7.5,2.5,1.0,1,2031-07-22,5507,10398,16
399,1,5.0,5.0,2.0,1,2031-05-18,3644,10399,22
400,2,4.0,2.0,0.5,1,2030-02-02,8630,10400,40
401,2,5.0,2.5,1.0,1,2031-11-16,2985,10401,30
402,3,18.0,6.0,2.0,1,2030-05-04,6608,10402,3
403,1,3.0,3.0,1.0,1,2031-07-02,5253,10403,37
404,2,4.0,2.0,0.5,1,2030-02-22,7751,10404,6
405,1,2.0,2.0,0.5,1,2031-12-24,9778,10405,36
406,1,2.0,2.0,0.5,1,2030-09-30,6782,10406,23
407,1,7.5,7.5,3.0,1,2032-03-05,1634,10407,11
408,2,6.0,3.0,1.0,1,2032-12-18,10000,10408,5
409,3,6.0,2.0,0.5,1,2030-02-05,8536,10409,2
410,1,6.0,6.0,2.0,1,2032-06-29,5630,10410,19
411,3,9.0,3.0,1.0,1,2030-05-01,9208,10411,20
412,3,19.5,6.5,2.5,1,2032-02-23,4447,10412,27
413,2,13.0,6.5,2.5,1,2031-08-28,4236,10413,35
414,1,6.5,6.5,2.5,1,2032-06-25,2308,10414,34
415,2,7.0,3.5,1.0,1,2031-01-18,8929,10415,29
416,3,13.5,4.5,1.5,1,2030-09-27,4880,10416,31
417,3,7.5,2.5,1.0,1,2032-12-28,9889,10417,30
418,3,19.5,6.5,2.5,1,2031-10-24,5541,10418,33
419,2,4.0,2.0,0.5,1,2031-11-08,9067,10419,6
420,3,19.5,6.5,2.5,1,2030-05-22,5689,10420,15
