Id,Obeservacao,QuantidadePessoas,Codigo,DataEntrada,DataSaida,QuantidadeDiaria,Desconto,ValorTotal,Sinal,ValorPago,Status,Tipo,ValorDiaria,Apartamento_Id,Cliente_Id,Movimentacao_Id,Reserva_Id
35,-,4,H0035,2030-12-07,2030-12-08,1,0.0,200.0,0.0,219.5,0,1,200.0,58,1585,35,
36,-,4,H0036,2031-11-27,2031-11-28,1,0.0,200.0,0.0,229.5,0,1,200.0,18,1789,36,
37,-,4,H0037,2030-02-16,2030-02-18,2,0.0,400.0,0.0,400.0,0,1,200.0,79,1968,37,
38,-,2,H0038,2031-08-03,2031-08-06,3,0.0,300.0,0.0,318.5,0,1,100.0,49,1077,38,
39,-,2,H0039,2032-08-22,2032-08-23,1,0.0,100.0,0.0,123.0,0,1,100.0,2,269,39,
40,-,4,H0040,2030-02-12,2030-02-13,1,0.0,200.0,0.0,206.5,0,1,200.0,59,1181,40,
41,-,3,H0041,2032-05-09,2032-05-11,2,0.0,300.0,0.0,300.0,0,1,150.0,33,1297,41,
42,-,2,H0042,2031-11-18,2031-11-22,4,0.0,400.0,0.0,419.0,0,1,100.0,49,452,42,
43,-,2,H0043,2031-05-22,2031-05-23,1,0.0,100.0,0.0,100.0,0,1,100.0,47,1276,43,
44,-,2,H0044,2030-12-11,2030-12-12,1,0.0,100.0,0.0,100.0,0,1,100.0,5,68,44,
45,-,1,H0045,2030-10-18,2030-10-20,2,0.0,100.0,0.0,103.5,0,1,50.0,1,1385,45,
46,-,3,H0046,2030-08-18,2030-08-20,2,0.0,300.0,0.0,300.0,0,1,150.0,54,1566,46,
47,-,3,H0047,2030-06-25,2030-06-26,1,0.0,150.0,0.0,156.0,0,1,150.0,51,471,47,
48,-,3,H0048,2032-03-19,2032-03-21,2,0.0,300.0,0.0,323.5,0,1,150.0,30,1902,48,
49,-,4,H0049,2030-01-13,2030-01-18,5,0.0,1000.0,0.0,1004.0,0,1,200.0,59,436,49,
50,-,3,H0050,2031-06-15,2031-06-17,2,0.0,300.0,0.0,310.0,0,1,150.0,74,1609,50,
51,-,2,H0051,2031-05-18,2031-05-20,2,0.0,200.0,0.0,200.0,0,1,100.0,6,776,51,
52,-,3,H0052,2032-05-24,2032-05-27,3,0.0,450.0,0.0,452.0,0,1,150.0,17,1146,52,
53,-,3,H0053,2031-11-25,2031-11-26,1,0.0,150.0,0.0,156.0,0,1,150.0,50,1808,53,
54,-,2,H0054,2031-11-15,2031-11-17,2,0.0,200.0,0.0,229.0,0,1,100.0,29,1199,54,
55,-,2,H0055,2031-08-28,2031-08-31,3,0.0,300.0,0.0,322.5,0,1,100.0,46,1214,55,
56,-,4,H0056,2032-11-17,2032-11-18,1,0.0,200.0,0.0,206.5,0,1,200.0,81,1112,56,
57,-,2,H0057,2032-09-25,2032-09-26,1,0.0,100.0,0.0,115.0,0,1,100.0,69,883,57,
58,-,3,H0058,2032-05-08,2032-05-10,2,0.0,300.0,0.0,312.5,0,1,150.0,14,1606,58,
59,-,3,H0059,2030-07-07,2030-07-10,3,0.0,450.0,0.0,450.0,0,1,150.0,32,797,59,
60,-,2,H0060,2032-02-25,2032-02-27,2,0.0,200.0,0.0,222.0,0,1,100.0,28,1954,60,
61,-,3,H0061,2030-02-12,2030-02-13,1,0.0,150.0,0.0,185.0,0,1,150.0,52,1696,61,
62,-,2,H0062,2030-07-01,2030-07-03,2,0.0,200.0,0.0,223.0,0,1,100.0,23,322,62,
63,-,2,H0063,2032-07-15,2032-07-19,4,0.0,400.0,0.0,419.5,0,1,100.0,9,549,63,
64,-,4,H0064,2031-01-26,2031-01-27,1,0.0,200.0,0.0,200.0,0,1,200.0,38,1814,64,
65,-,2,H0065,2032-08-17,2032-08-18,1,0.0,100.0,0.0,100.0,0,1,100.0,9,523,65,
66,-,2,H0066,2030-01-18,2030-01-20,2,0.0,200.0,0.0,208.5,0,1,100.0,67,1197,66,
67,-,2,H0067,2031-04-02,2031-04-04,2,0.0,200.0,0.0,228.5,0,1,100.0,25,1898,67,
68,-,4,H0068,2032-05-05,2032-05-06,1,0.0,200.0,0.0,233.0,0,1,200.0,60,1974,68,
69,-,4,H0069,2030-11-17,2030-11-18,1,0.0,200.0,0.0,206.5,0,1,200.0,79,393,69,
70,-,3,H0070,2032-10-06,2032-10-07,1,0.0,150.0,0.0,150.0,0,1,150.0,15,802,70,
71,-,3,H0071,2030-02-19,2030-02-20,1,0.0,150.0,0.0,169.5,0,1,150.0,51,475,71,
72,-,3,H0072,2032-01-03,2032-01-04,1,0.0,150.0,0.0,155.5,0,1,150.0,74,1979,72,
73,-,3,H0073,2031-07-09,2031-07-11,2,0.0,300.0,0.0,306.0,0,1,150.0,76,291,73,
74,-,4,H0074,2030-12-01,2030-12-04,3,0.0,600.0,0.0,641.0,0,1,200.0,19,185,74,
75,-,3,H0075,2031-05-05,2031-05-07,2,0.0,300.0,0.0,303.5,0,1,150.0,56,1836,75,
76,-,1,H0076,2032-08-23,2032-08-28,5,0.0,250.0,0.0,256.0,0,1,50.0,1,1028,76,
77,-,3,H0077,2030-06-14,2030-06-15,1,0.0,150.0,0.0,150.0,0,1,150.0,36,1393,77,
78,-,2,H0078,2031-04-12,2031-04-15,3,0.0,300.0,0.0,300.0,0,1,100.0,7,881,78,
79,-,2,H0079,2032-03-23,2032-03-25,2,0.0,200.0,0.0,205.5,0,1,100.0,67,1078,79,
80,-,2,H0080,2032-04-22,2032-04-23,1,0.0,100.0,0.0,113.5,0,1,100.0,7,1823,80,
81,-,4,H0081,2032-11-15,2032-11-18,3,0.0,600.0,0.0,600.0,0,1,200.0,18,83,81,
82,-,2,H0082,2032-03-16,2032-03-17,1,0.0,100.0,0.0,118.5,0,1,100.0,4,473,82,
83,-,2,H0083,2030-04-10,2030-04-12,2,0.0,200.0,0.0,221.0,0,1,100.0,49,1561,83,
84,-,2,H0084,2030-08-13,2030-08-14,1,0.0,100.0,0.0,106.0,0,1,100.0,69,1627,84,
85,-,3,H0085,2031-10-19,2031-10-22,3,0.0,450.0,0.0,465.0,0,1,150.0,57,1727,85,
86,-,3,H0086,2031-07-07,2031-07-08,1,0.0,150.0,0.0,159.0,0,1,150.0,76,1398,86,
87,-,3,H0087,2032-06-21,2032-06-25,4,0.0,600.0,0.0,602.5,0,1,150.0,31,420,87,
88,-,3,H0088,2030-11-14,2030-11-15,1,0.0,150.0,0.0,163.5,0,1,150.0,14,221,88,
89,-,2,H0089,2032-04-28,2032-04-30,2,0.0,200.0,0.0,236.0,0,1,100.0,7,569,89,
90,-,3,H0090,2032-11-21,2032-11-23,2,0.0,300.0,0.0,322.5,0,1,150.0,13,1959,90,
91,-,4,H0091,2031-04-19,2031-04-23,4,0.0,800.0,0.0,800.0,0,1,200.0,78,675,91,
92,-,3,H0092,2031-05-22,2031-05-24,2,0.0,300.0,0.0,321.0,0,1,150.0,75,320,92,
93,-,2,H0093,2032-01-17,2032-01-22,5,0.0,500.0,0.0,506.0,0,1,100.0,5,262,93,
94,-,3,H0094,2032-11-26,2032-11-30,4,0.0,600.0,0.0,604.0,0,1,150.0,70,1097,94,
95,-,4,H0095,2030-09-08,2030-09-10,2,0.0,400.0,0.0,429.5,0,1,200.0,59,674,95,
96,-,2,H0096,2030-04-06,2030-04-08,2,0.0,200.0,0.0,210.0,0,1,100.0,29,1885,96,
97,-,2,H0097,2031-03-25,2031-03-26,1,0.0,100.0,0.0,127.0,0,1,100.0,7,790,97,
98,-,2,H0098,2032-01-05,2032-01-06,1,0.0,100.0,0.0,119.5,0,1,100.0,66,1620,98,
99,-,3,H0099,2032-10-16,2032-10-17,1,0.0,150.0,0.0,181.0,0,1,150.0,10,920,99,
100,-,4,H0100,2032-08-12,2032-08-13,1,0.0,200.0,0.0,200.0,0,1,200.0,58,1358,100,
101,-,3,H0101,2030-03-23,2030-03-27,4,0.0,600.0,0.0,628.5,0,1,150.0,13,1044,101,
102,-,4,H0102,2032-02-17,2032-02-20,3,0.0,600.0,0.0,611.0,0,1,200.0,40,1502,102,
103,-,2,H0103,2032-02-24,2032-02-27,3,0.0,300.0,0.0,329.5,0,1,100.0,62,211,103,
104,-,3,H0104,2032-12-14,2032-12-16,2,0.0,300.0,0.0,311.5,0,1,150.0,57,353,104,
105,-,4,H0105,2031-06-08,2031-06-10,2,0.0,400.0,0.0,409.0,0,1,200.0,39,583,105,
106,-,4,H0106,2032-05-09,2032-05-10,1,0.0,200.0,0.0,209.0,0,1,200.0,58,1173,106,
107,-,3,H0107,2030-03-13,2030-03-14,1,0.0,150.0,0.0,193.5,0,1,150.0,74,568,107,
108,-,3,H0108,2032-10-07,2032-10-08,1,0.0,150.0,0.0,150.0,0,1,150.0,15,1844,108,
109,-,4,H0109,2031-10-02,2031-10-03,1,0.0,200.0,0.0,212.0,0,1,200.0,19,378,109,
110,-,3,H0110,2032-08-08,2032-08-10,2,0.0,300.0,0.0,313.0,0,1,150.0,54,815,110,
111,-,2,H0111,2031-04-07,2031-04-10,3,0.0,300.0,0.0,310.0,0,1,100.0,9,1156,111,
112,-,3,H0112,2031-11-22,2031-11-24,2,0.0,300.0,0.0,302.5,0,1,150.0,30,1628,112,
113,-,2,H0113,2030-07-12,2030-07-16,4,0.0,400.0,0.0,400.0,0,1,100.0,25,869,113,
114,-,4,H0114,2032-02-06,2032-02-07,1,0.0,200.0,0.0,212.0,0,1,200.0,21,270,114,
115,-,2,H0115,2031-10-05,2031-10-09,4,0.0,400.0,0.0,410.0,0,1,100.0,65,375,115,
116,-,4,H0116,2030-08-08,2030-08-13,5,0.0,1000.0,0.0,1012.5,0,1,200.0,19,617,116,
117,-,3,H0117,2030-05-25,2030-05-30,5,0.0,750.0,0.0,768.0,0,1,150.0,13,1569,117,
118,-,4,H0118,2032-09-19,2032-09-21,2,0.0,400.0,0.0,405.5,0,1,200.0,41,1476,118,
119,-,3,H0119,2030-07-10,2030-07-12,2,0.0,300.0,0.0,322.0,0,1,150.0,15,517,119,
120,-,2,H0120,2032-02-19,2032-02-20,1,0.0,100.0,0.0,105.5,0,1,100.0,47,1817,120,
121,-,2,H0121,2030-11-29,2030-11-30,1,0.0,100.0,0.0,103.0,0,1,100.0,63,453,121,
122,-,3,H0122,2030-11-30,2030-12-02,2,0.0,300.0,0.0,306.0,0,1,150.0,54,344,122,
123,-,2,H0123,2030-12-16,2030-12-18,2,0.0,200.0,0.0,200.0,0,1,100.0,47,985,123,
124,-,4,H0124,2030-02-10,2030-02-13,3,0.0,600.0,0.0,611.0,0,1,200.0,21,1533,124,
125,-,3,H0125,2031-12-23,2031-12-28,5,0.0,750.0,0.0,762.0,0,1,150.0,31,8,125,
126,-,2,H0126,2031-10-28,2031-10-29,1,0.0,100.0,0.0,100.0,0,1,100.0,6,955,126,
127,-,3,H0127,2031-10-25,2031-10-28,3,0.0,450.0,0.0,454.5,0,1,150.0,77,1322,127,
128,-,2,H0128,2032-09-15,2032-09-16,1,0.0,100.0,0.0,100.0,0,1,100.0,26,1059,128,
129,-,2,H0129,2030-11-28,2030-11-29,1,0.0,100.0,0.0,100.0,0,1,100.0,67,306,129,
130,-,4,H0130,2031-05-28,2031-05-30,2,0.0,400.0,0.0,406.0,0,1,200.0,21,454,130,
131,-,2,H0131,2031-10-01,2031-10-02,1,0.0,100.0,0.0,100.0,0,1,100.0,45,240,131,
132,-,2,H0132,2031-11-02,2031-11-04,2,0.0,200.0,0.0,225.0,0,1,100.0,23,1866,132,
133,-,3,H0133,2031-10-03,2031-10-05,2,0.0,300.0,0.0,326.0,0,1,150.0,70,137,133,
134,-,3,H0134,2031-09-24,2031-09-26,2,0.0,300.0,0.0,334.5,0,1,150.0,55,1638,134,
135,-,2,H0135,2030-05-23,2030-05-27,4,0.0,400.0,0.0,405.5,0,1,100.0,23,471,135,
136,-,3,H0136,2031-11-24,2031-11-26,2,0.0,300.0,0.0,306.0,0,1,150.0,14,769,136,
137,-,3,H0137,2032-07-06,2032-07-07,1,0.0,150.0,0.0,156.5,0,1,150.0,76,170,137,
138,-,2,H0138,2030-07-09,2030-07-13,4,0.0,400.0,0.0,423.5,0,1,100.0,8,1522,138,
139,-,2,H0139,2031-07-27,2031-07-28,1,0.0,100.0,0.0,112.0,0,1,100.0,27,1878,139,
140,-,4,H0140,2032-01-26,2032-01-27,1,0.0,200.0,0.0,200.0,0,1,200.0,60,1893,140,
141,-,4,H0141,2032-10-19,2032-10-21,2,0.0,400.0,0.0,400.0,0,1,200.0,80,1437,141,
142,-,3,H0142,2030-04-20,2030-04-24,4,0.0,600.0,0.0,608.0,0,1,150.0,54,1868,142,
143,-,2,H0143,2030-10-26,2030-10-27,1,0.0,100.0,0.0,131.0,0,1,100.0,2,1866,143,
144,-,2,H0144,2030-02-21,2030-02-23,2,0.0,200.0,0.0,217.0,0,1,100.0,3,1600,144,
145,-,3,H0145,2031-01-19,2031-01-20,1,0.0,150.0,0.0,195.5,0,1,150.0,51,1366,145,
146,-,2,H0146,2031-10-07,2031-10-09,2,0.0,200.0,0.0,219.0,0,1,100.0,4,1160,146,
147,-,4,H0147,2030-01-07,2030-01-08,1,0.0,200.0,0.0,219.5,0,1,200.0,79,1714,147,
148,-,2,H0148,2030-02-26,2030-02-27,1,0.0,100.0,0.0,118.0,0,1,100.0,43,845,148,
149,-,4,H0149,2031-10-05,2031-10-08,3,0.0,600.0,0.0,637.5,0,1,200.0,20,237,149,
150,-,4,H0150,2030-10-14,2030-10-15,1,0.0,200.0,0.0,213.5,0,1,200.0,39,24,150,
151,-,2,H0151,2032-05-15,2032-05-20,5,0.0,500.0,0.0,523.0,0,1,100.0,25,545,151,
152,-,3,H0152,2032-11-02,2032-11-03,1,0.0,150.0,0.0,152.0,0,1,150.0,70,952,152,
153,-,2,H0153,2030-11-06,2030-11-07,1,0.0,100.0,0.0,100.0,0,1,100.0,47,931,153,
154,-,3,H0154,2030-06-24,2030-06-26,2,0.0,300.0,0.0,313.0,0,1,150.0,36,323,154,
155,-,3,H0155,2032-07-20,2032-07-25,5,0.0,750.0,0.0,777.0,0,1,150.0,10,1779,155,
156,-,3,H0156,2030-11-09,2030-11-12,3,0.0,450.0,0.0,450.0,0,1,150.0,15,306,156,
157,-,2,H0157,2032-04-01,2032-04-02,1,0.0,100.0,0.0,119.0,0,1,100.0,6,1098,157,
158,-,3,H0158,2032-02-08,2032-02-11,3,0.0,450.0,0.0,450.0,0,1,150.0,52,1649,158,
159,-,3,H0159,2031-09-30,2031-10-01,1,0.0,150.0,0.0,150.0,0,1,150.0,76,477,159,
160,-,3,H0160,2031-01-24,2031-01-29,5,0.0,750.0,0.0,756.5,0,1,150.0,31,1249,160,
161,-,2,H0161,2032-12-21,2032-12-22,1,0.0,100.0,0.0,157.5,0,1,100.0,68,165,161,
162,-,2,H0162,2032-02-27,2032-02-28,1,0.0,100.0,0.0,136.5,0,1,100.0,4,51,162,
163,-,2,H0163,2030-09-26,2030-09-27,1,0.0,100.0,0.0,127.0,0,1,100.0,63,1219,163,
164,-,3,H0164,2031-01-27,2031-01-29,2,0.0,300.0,0.0,304.0,0,1,150.0,32,1448,164,
165,-,4,H0165,2031-01-06,2031-01-07,1,0.0,200.0,0.0,220.5,0,1,200.0,81,1397,165,
166,-,4,H0166,2032-01-06,2032-01-07,1,0.0,200.0,0.0,216.5,0,1,200.0,78,1205,166,
167,-,4,H0167,2030-08-25,2030-08-26,1,0.0,200.0,0.0,233.0,0,1,200.0,18,1054,167,
168,-,3,H0168,2030-12-07,2030-12-10,3,0.0,450.0,0.0,465.0,0,1,150.0,11,161,168,
169,-,4,H0169,2031-12-13,2031-12-15,2,0.0,400.0,0.0,434.5,0,1,200.0,39,1440,169,
170,-,3,H0170,2030-10-06,2030-10-11,5,0.0,750.0,0.0,750.0,0,1,150.0,72,1911,170,
171,-,4,H0171,2032-06-28,2032-06-29,1,0.0,200.0,0.0,243.5,0,1,200.0,19,1025,171,
172,-,4,H0172,2031-12-10,2031-12-11,1,0.0,200.0,0.0,200.0,0,1,200.0,58,1916,172,
173,-,3,H0173,2032-12-30,2032-12-31,1,0.0,150.0,0.0,162.0,0,1,150.0,15,493,173,
174,-,2,H0174,2030-04-03,2030-04-05,2,0.0,200.0,0.0,204.0,0,1,100.0,26,1480,174,
175,-,2,H0175,2032-12-25,2032-12-26,1,0.0,100.0,0.0,119.0,0,1,100.0,6,1836,175,
176,-,2,H0176,2032-02-16,2032-02-17,1,0.0,100.0,0.0,121.0,0,1,100.0,48,629,176,
177,-,3,H0177,2030-09-30,2030-10-01,1,0.0,150.0,0.0,157.5,0,1,150.0,54,1177,177,
178,-,3,H0178,2031-01-08,2031-01-11,3,0.0,450.0,0.0,467.5,0,1,150.0,57,598,178,
179,-,3,H0179,2030-05-30,2030-05-31,1,0.0,150.0,0.0,150.0,0,1,150.0,36,1393,179,
180,-,4,H0180,2032-07-26,2032-07-29,3,0.0,600.0,0.0,654.0,0,1,200.0,39,671,180,
181,-,2,H0181,2032-04-27,2032-04-28,1,0.0,100.0,0.0,111.5,0,1,100.0,44,311,181,
182,-,2,H0182,2030-07-25,2030-07-26,1,0.0,100.0,0.0,100.0,0,1,100.0,63,737,182,
183,-,3,H0183,2030-09-06,2030-09-10,4,0.0,600.0,0.0,600.0,0,1,150.0,35,1185,183,
184,-,2,H0184,2032-05-14,2032-05-17,3,0.0,300.0,0.0,300.0,0,1,100.0,44,727,184,
185,-,3,H0185,2031-12-22,2031-12-24,2,0.0,300.0,0.0,310.5,0,1,150.0,52,1414,185,
186,-,2,H0186,2032-07-10,2032-07-12,2,0.0,200.0,0.0,220.0,0,1,100.0,45,1226,186,
187,-,3,H0187,2030-01-31,2030-02-01,1,0.0,150.0,0.0,164.0,0,1,150.0,74,722,187,
188,-,4,H0188,2030-03-20,2030-03-21,1,0.0,200.0,0.0,216.5,0,1,200.0,80,74,188,
189,-,2,H0189,2031-06-21,2031-06-23,2,0.0,200.0,0.0,217.0,0,1,100.0,27,1387,189,
190,-,4,H0190,2032-12-16,2032-12-20,4,0.0,800.0,0.0,824.0,0,1,200.0,60,951,190,
191,-,3,H0191,2032-04-25,2032-04-26,1,0.0,150.0,0.0,150.0,0,1,150.0,73,345,191,
192,-,2,H0192,2031-12-18,2031-12-19,1,0.0,100.0,0.0,113.0,0,1,100.0,43,438,192,
193,-,4,H0193,2032-05-26,2032-05-28,2,0.0,400.0,0.0,411.0,0,1,200.0,79,515,193,
194,-,2,H0194,2032-09-18,2032-09-21,3,0.0,300.0,0.0,318.0,0,1,100.0,44,1088,194,
195,-,3,H0195,2032-03-12,2032-03-15,3,0.0,450.0,0.0,478.0,0,1,150.0,10,1049,195,
196,-,2,H0196,2032-07-26,2032-07-27,1,0.0,100.0,0.0,138.0,0,1,100.0,23,460,196,
197,-,2,H0197,2030-01-27,2030-01-28,1,0.0,100.0,0.0,122.0,0,1,100.0,48,1025,197,
198,-,4,H0198,2031-08-08,2031-08-10,2,0.0,400.0,0.0,404.0,0,1,200.0,39,1104,198,
199,-,2,H0199,2031-02-10,2031-02-11,1,0.0,100.0,0.0,116.5,0,1,100.0,24,261,199,
200,-,2,H0200,2032-07-07,2032-07-10,3,0.0,300.0,0.0,331.5,0,1,100.0,23,1424,200,
201,-,2,H0201,2030-10-14,2030-10-15,1,0.0,100.0,0.0,136.5,0,1,100.0,64,174,201,
202,-,3,H0202,2030-05-19,2030-05-21,2,0.0,300.0,0.0,300.0,0,1,150.0,54,75,202,
203,-,2,H0203,2031-07-02,2031-07-07,5,0.0,500.0,0.0,518.5,0,1,100.0,26,1247,203,
204,-,2,H0204,2030-03-01,2030-03-02,1,0.0,100.0,0.0,117.0,0,1,100.0,46,1134,204,
205,-,1,H0205,2031-03-10,2031-03-11,1,0.0,50.0,0.0,64.0,0,1,50.0,1,395,205,
206,-,2,H0206,2032-08-06,2032-08-08,2,0.0,200.0,0.0,213.0,0,1,100.0,68,832,206,
207,-,3,H0207,2031-11-17,2031-11-19,2,0.0,300.0,0.0,321.0,0,1,150.0,15,733,207,
208,-,2,H0208,2032-03-14,2032-03-19,5,0.0,500.0,0.0,516.5,0,1,100.0,8,21,208,
209,-,3,H0209,2031-01-11,2031-01-12,1,0.0,150.0,0.0,168.0,0,1,150.0,70,676,209,
210,-,4,H0210,2032-08-29,2032-08-30,1,0.0,200.0,0.0,250.5,0,1,200.0,21,1637,210,
211,-,4,H0211,2030-07-19,2030-07-23,4,0.0,800.0,0.0,802.5,0,1,200.0,40,1098,211,
212,-,2,H0212,2032-02-26,2032-02-27,1,0.0,100.0,0.0,104.0,0,1,100.0,65,1396,212,
213,-,2,H0213,2032-12-10,2032-12-11,1,0.0,100.0,0.0,111.0,0,1,100.0,2,206,213,
214,-,4,H0214,2032-09-25,2032-09-27,2,0.0,400.0,0.0,400.0,0,1,200.0,59,1023,214,
215,-,2,H0215,2030-04-13,2030-04-16,3,0.0,300.0,0.0,300.0,0,1,100.0,6,801,215,
216,-,3,H0216,2030-01-01,2030-01-02,1,0.0,150.0,0.0,174.0,0,1,150.0,53,798,216,
217,-,3,H0217,2030-07-26,2030-07-27,1,0.0,150.0,0.0,163.0,0,1,150.0,34,980,217,
218,-,4,H0218,2032-05-31,2032-06-01,1,0.0,200.0,0.0,206.0,0,1,200.0,80,1955,218,
219,-,2,H0219,2032-11-06,2032-11-07,1,0.0,100.0,0.0,105.5,0,1,100.0,66,884,219,
220,-,3,H0220,2032-02-20,2032-02-24,4,0.0,600.0,0.0,621.5,0,1,150.0,12,1434,220,
221,-,4,H0221,2031-10-29,2031-10-31,2,0.0,400.0,0.0,432.5,0,1,200.0,38,1657,221,
222,-,3,H0222,2031-10-11,2031-10-12,1,0.0,150.0,0.0,164.0,0,1,150.0,56,1000,222,
223,-,2,H0223,2031-06-28,2031-06-30,2,0.0,200.0,0.0,218.0,0,1,100.0,66,471,223,
224,-,2,H0224,2032-06-22,2032-06-23,1,0.0,100.0,0.0,113.0,0,1,100.0,3,1022,224,
225,-,2,H0225,2031-08-28,2031-08-30,2,0.0,200.0,0.0,240.0,0,1,100.0,9,386,225,
226,-,3,H0226,2032-07-26,2032-07-29,3,0.0,450.0,0.0,456.0,0,1,150.0,51,243,226,
227,-,2,H0227,2030-07-13,2030-07-14,1,0.0,100.0,0.0,128.0,0,1,100.0,29,836,227,
228,-,2,H0228,2032-08-05,2032-08-06,1,0.0,100.0,0.0,131.0,0,1,100.0,63,1152,228,
229,-,3,H0229,2032-07-16,2032-07-17,1,0.0,150.0,0.0,180.5,0,1,150.0,36,905,229,
230,-,2,H0230,2032-03-07,2032-03-08,1,0.0,100.0,0.0,100.0,0,1,100.0,7,1629,230,
231,-,2,H0231,2030-08-04,2030-08-08,4,0.0,400.0,0.0,409.0,0,1,100.0,62,990,231,
232,-,4,H0232,2031-12-13,2031-12-15,2,0.0,400.0,0.0,442.5,0,1,200.0,81,798,232,
233,-,3,H0233,2030-02-27,2030-03-01,2,0.0,300.0,0.0,318.5,0,1,150.0,52,908,233,
234,-,4,H0234,2031-02-07,2031-02-09,2,0.0,400.0,0.0,409.0,0,1,200.0,18,1530,234,
235,-,2,H0235,2031-07-09,2031-07-14,5,0.0,500.0,0.0,526.5,0,1,100.0,64,1631,235,
236,-,2,H0236,2030-05-04,2030-05-08,4,0.0,400.0,0.0,406.0,0,1,100.0,62,1476,236,
237,-,4,H0237,2031-11-07,2031-11-09,2,0.0,400.0,0.0,405.5,0,1,200.0,61,808,237,
238,-,2,H0238,2031-01-20,2031-01-21,1,0.0,100.0,0.0,137.0,0,1,100.0,63,730,238,
239,-,3,H0239,2031-10-23,2031-10-24,1,0.0,150.0,0.0,153.0,0,1,150.0,37,1805,239,
